sale_id,product_id,sale_date,quantity_sold
S003,P003,2026-09-05 17:53:48,1
S004,P004,2026-09-05 18:12:06,1
S005,P001,2026-09-05 18:40:03,1
S006,P004,2026-09-05 18:48:27,1
S007,P002,2026-09-05 18:51:01,2
S008,P009,2026-09-05 19:02:17,1
S009,P002,2026-09-06 20:32:15,1
S010,P007,2026-09-06 20:40:09,1
S011,P003,2026-09-06 20:53:48,1
S012,P008,2026-09-06 21:12:06,2
S013,P009,2026-09-06 21:40:03,1
S014,P001,2026-09-06 21:48:27,1
S015,P001,2026-09-06 21:51:01,1
S016,P008,2026-09-06 22:02:17,1
S017,P004,2026-09-07 22:32:15,1
S019,P002,2026-09-07 22:53:48,1
S020,P007,2026-09-07 23:12:06,3
S021,P006,2026-09-07 23:40:03,5
S022,P003,2026-09-08 23:48:27,1
S024,P008,2026-09-09 10:02:17,1
S026,P004,2026-09-09 11:12:06,1
S027,P006,2026-09-09 11:40:03,2
S029,P001,2026-09-09 11:51:01,1
S030,P009,2026-09-09 12:02:17,2
